id,parent_id,name,acronym,red,green,blue
997,,root,root,255,255,255
8,997,Basic cell groups and regions,grey,191,218,227
567,8,Cerebrum,CH,176,240,255
688,567,Cerebral cortex,CTX,176,255,184
695,688,Cortical plate,CTXpl,112,255,112
315,695,Isocortex,Isocortex,112,255,113
184,315,"Frontal pole, cerebral cortex",FRP,38,143,69
68,184,"Frontal pole, layer 1",FRP1,38,143,69
667,184,"Frontal pole, layer 2/3",FRP2/3,38,143,69
526157192,184,"Frontal pole, layer 5",FRP5,38,143,69
526157196,184,"Frontal pole, layer 6a",FRP6a,38,143,69
526322264,184,"Frontal pole, layer 6b",FRP6b,38,143,69
500,315,Somatomotor areas,MO,31,157,90
107,500,"Somatomotor areas, Layer 1",MO1,31,157,90
219,500,"Somatomotor areas, Layer 2/3",MO2/3,31,157,90
299,500,"Somatomotor areas, Layer 5",MO5,31,157,90
644,500,"Somatomotor areas, Layer 6a",MO6a,31,157,90
947,500,"Somatomotor areas, Layer 6b",MO6b,31,157,90
985,500,Primary motor area,MOp,31,157,90
320,985,"Primary motor area, Layer 1",MOp1,31,157,90
943,985,"Primary motor area, Layer 2/3",MOp2/3,31,157,90
648,985,"Primary motor area, Layer 5",MOp5,31,157,90
844,985,"Primary motor area, Layer 6a",MOp6a,31,157,90
882,985,"Primary motor area, Layer 6b",MOp6b,31,157,90
993,500,Secondary motor area,MOs,31,157,90
656,993,"Secondary motor area, layer 1",MOs1,31,157,90
962,993,"Secondary motor area, layer 2/3",MOs2/3,31,157,90
767,993,"Secondary motor area, layer 5",MOs5,31,157,90
1021,993,"Secondary motor area, layer 6a",MOs6a,31,157,90
1085,993,"Secondary motor area, layer 6b",MOs6b,31,157,90
453,315,Somatosensory areas,SS,24,128,100
12993,453,"Somatosensory areas, layer 1",SS1,24,128,100
12994,453,"Somatosensory areas, layer 2/3",SS2/3,24,128,100
12995,453,"Somatosensory areas, layer 4",SS4,24,128,100
12996,453,"Somatosensory areas, layer 5",SS5,24,128,100
12997,453,"Somatosensory areas, layer 6a",SS6a,24,128,100
12998,453,"Somatosensory areas, layer 6b",SS6b,24,128,100
322,453,Primary somatosensory area,SSp,24,128,100
793,322,"Primary somatosensory area, layer 1",SSp1,24,128,100
346,322,"Primary somatosensory area, layer 2/3",SSp2/3,24,128,100
865,322,"Primary somatosensory area, layer 4",SSp4,24,128,100
921,322,"Primary somatosensory area, layer 5",SSp5,24,128,100
686,322,"Primary somatosensory area, layer 6a",SSp6a,24,128,100
719,322,"Primary somatosensory area, layer 6b",SSp6b,24,128,100
353,322,"Primary somatosensory area, nose",SSp-n,24,128,100
558,353,"Primary somatosensory area, nose, layer 1",SSp-n1,24,128,100
838,353,"Primary somatosensory area, nose, layer 2/3",SSp-n2/3,24,128,100
654,353,"Primary somatosensory area, nose, layer 4",SSp-n4,24,128,100
702,353,"Primary somatosensory area, nose, layer 5",SSp-n5,24,128,100
889,353,"Primary somatosensory area, nose, layer 6a",SSp-n6a,24,128,100
929,353,"Primary somatosensory area, nose, layer 6b",SSp-n6b,24,128,100
329,322,"Primary somatosensory area, barrel field",SSp-bfd,24,128,100
981,329,"Primary somatosensory area, barrel field, layer 1",SSp-bfd1,24,128,100
201,329,"Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3,24,128,100
1047,329,"Primary somatosensory area, barrel field, layer 4",SSp-bfd4,24,128,100
1070,329,"Primary somatosensory area, barrel field, layer 5",SSp-bfd5,24,128,100
1038,329,"Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a,24,128,100
1062,329,"Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b,24,128,100
480149202,329,Rostrolateral lateral visual area,VISrll,24,128,100
